tag_name_verbose,addresses,tag_type_verbose,tag_subtype_verbose
Kraken.com,1ztwJrB7u2MmWHVu6iyKSd3FveKPiBkcSs9eWwGjThy7JrK,Exchange,Mandatory KYC and AML
Kraken.com,1zttv91TXXUCCvEbXAfRgK2sRYQhKWUwCHhx6QYbkuVeJ7n,Exchange,Mandatory KYC and AML
Kraken.com,1ztso9ewBnGe3PyAfxi51Dc29F8nsJKjQHmEA4oqHLRZNtk,Exchange,Mandatory KYC and AML
Okx.com,1ztr7LUdKTjGZc1o88qptYD9ymYMMVvsV954YUBGn1JE8C9,Exchange,Mandatory KYC and AML
CoinEx,1ztqfRskabxcPsovKrJ3VcrHzPxmv9L6ow518BcgvW1VAit,Exchange,Mandatory KYC and AML
Bybit.com,1ztqPv7yRsTLzPTuMnv6DuL5PLAbLnvg5sHFcXzXZyFBGVM,Exchange,Mandatory KYC and AML
Kraken.com,1ztpm41prPqEAc3Ljf7exvYszDXUPNscJjRXFwzEMsPzGFq,Exchange,Mandatory KYC and AML
Kucoin.com,1ztpXmVo1vvxZUo8XDCFhXJjsqP3gKmDTkZx3KhZrscjbea,Exchange,Mandatory KYC and AML
Bybit.com,1ztpPcL51Ui2TiUtJiZfRYiZJUZSSZrPuRaYSckMr87At5p,Exchange,Mandatory KYC and AML
Kraken.com,1ztpAf35JMSnRAAbzrWaQcd7fSmjovojmoTbtLUPi8BwVq7,Exchange,Mandatory KYC and AML
Kraken.com,1ztktTkHzc4v7S5WZToaBFTg4xcjZSVT1ntCe2XvhiVgmrs,Exchange,Mandatory KYC and AML
Kraken.com,1zthSzRJpykYxkTeiE3GCrTJJt39c4RSx3rGgEQ6huLqNWw,Exchange,Mandatory KYC and AML
Kraken.com,1ztgS4zSv8aMWpb9nERLL4N3YrMm11Ygoat2ubn7vDDTbVz,Exchange,Mandatory KYC and AML
Okx.com,1ztdY3VwvUi2mp3zcJwdaK1y9hqFV6wz7iGHDTeVsTdjpCR,Exchange,Mandatory KYC and AML
Kraken.com,1ztcxKs61UBWt7J1BHGKzBStYEnrve8376DuLGUBJa8YU6L,Exchange,Mandatory KYC and AML
